CallFile,Year,Dialect,Site,UniqueBird,UniqueCall
2005_06_09_PEBL_B2_C5.aif,2005,Nica,PEBL,PEBL_B2,PEBL_B2_C5
2005_06_09_PEBL_B2_C6.aif,2005,Nica,PEBL,PEBL_B2,PEBL_B2_C6
2005_06_09_PEBL_B2_C7.aif,2005,Nica,PEBL,PEBL_B2,PEBL_B2_C7
2005_06_09_PEBL_B2_C8.aif,2005,Nica,PEBL,PEBL_B2,PEBL_B2_C8
2005_06_09_PEBL_B2_C9.aif,2005,Nica,PEBL,PEBL_B2,PEBL_B2_C9
2005_06_09_PEBL_B3_C0.aif,2005,Nica,PEBL,PEBL_B3,PEBL_B3_C0
2005_06_09_PEBL_B3_C1.aif,2005,Nica,PEBL,PEBL_B3,PEBL_B3_C1
2005_06_09_PEBL_B3_C2.aif,2005,Nica,PEBL,PEBL_B3,PEBL_B3_C2
2005_06_09_PEBL_B3_C3.aif,2005,Nica,PEBL,PEBL_B3,PEBL_B3_C3
2005_06_09_PEBL_B3_C4.aif,2005,Nica,PEBL,PEBL_B3,PEBL_B3_C4
2005_06_09_PEBL_B3_C5.aif,2005,Nica,PEBL,PEBL_B3,PEBL_B3_C5
2005_06_09_PEBL_B3_C6.aif,2005,Nica,PEBL,PEBL_B3,PEBL_B3_C6
2005_06_03_SARO_B1_C0.aif,2005,Nor,SARO,SARO_B1,SARO_B1_C0
2005_06_03_SARO_B1_C1.aif,2005,Nor,SARO,SARO_B1,SARO_B1_C1
2005_06_03_SARO_B1_C2.aif,2005,Nor,SARO,SARO_B1,SARO_B1_C2
2005_06_03_SARO_B1_C3.aif,2005,Nor,SARO,SARO_B1,SARO_B1_C3
2005_06_03_SARO_B1_C4.aif,2005,Nor,SARO,SARO_B1,SARO_B1_C4
2005_06_03_SARO_B1_C5.aif,2005,Nor,SARO,SARO_B1,SARO_B1_C5
2005_06_03_SARO_B1_C6.aif,2005,Nor,SARO,SARO_B1,SARO_B1_C6
2005_06_03_SARO_B1_C7.aif,2005,Nor,SARO,SARO_B1,SARO_B1_C7
2005_06_03_SARO_B1_C8.aif,2005,Nor,SARO,SARO_B1,SARO_B1_C8
2005_06_03_SARO_B1_C9.aif,2005,Nor,SARO,SARO_B1,SARO_B1_C9
2005_06_03_SARO_B2_C0.aif,2005,Nor,SARO,SARO_B2,SARO_B2_C0
2005_06_03_SARO_B2_C1.aif,2005,Nor,SARO,SARO_B2,SARO_B2_C1
2005_06_03_SARO_B2_C2.aif,2005,Nor,SARO,SARO_B2,SARO_B2_C2
2005_06_03_SARO_B2_C3.aif,2005,Nor,SARO,SARO_B2,SARO_B2_C3
2005_06_03_SARO_B2_C4.aif,2005,Nor,SARO,SARO_B2,SARO_B2_C4
2005_06_03_SARO_B2_C5.aif,2005,Nor,SARO,SARO_B2,SARO_B2_C5
2005_06_03_SARO_B2_C6.aif,2005,Nor,SARO,SARO_B2,SARO_B2_C6
